"code","tekst"
"1200","uitspraak faillissement in cassatie op [datum handeling]"
"1201","faillissement van rechtswege door tussentijdse beeindiging schuldsanering in cassatie op [datum handeling]"
"1202","vernietiging faillissement in cassatie op [datum handeling]"
"2200","uitspraak schuldsanering in cassatie op [datum handeling]"
"2201","omzetting faillissement in schuldsanering in cassatie op [datum handeling]"
"2202","herleving schuldsanering door vernietiging faillissement in cassatie op [datum handeling]"
"3200","verlening definitieve surseance in cassatie op [datum handeling]"
"3201","behandeling cassatieberoep bij de hoge raad tegen afwijzing definitieve surseance op [datum handeling] om [tijdstip]"
"3202","behandeling cassatieberoep tegen toewijzing definitieve surseance op [datum handeling] om [tijdstip]"
"1100","uitspraak faillissement in hoger beroep op [datum handeling]"
"1101","faillissement van rechtswege door tussentijdse beeindiging schuldsanering in hoger beroep op [datum handeling]"
"1102","vernietiging faillissement in hoger beroep op [datum handeling]"
"2100","uitspraak schuldsanering in hoger beroep op [datum handeling]"
"2101","omzetting faillissement in schuldsanering in hoger beroep op [datum handeling]"
"2102","herleving schuldsanering door vernietiging faillissement in hoger beroep op [datum handeling]"
"3100","verlening definitieve surseance in hoger beroep op [datum handeling]"
"3101","behandeling hoger beroep tegen afwijzing definitieve surseance op [datum handeling] om [tijdstip]"
"3102","behandeling hoger beroep tegen toewijzing definitieve surseance op [datum handeling] om [tijdstip]"
"3310","rectificatie"
"1323","rectificatie"
"2300","rectificatie"
"1300","uitspraak faillissement op [datum handeling]"
"1301","uitspraak faillissement door tussentijdse beeindiging schuldsanering op [datum]"
"1302","uitspraak faillissement tijdens schuldsanering op [datum]"
"1303","uitspraak faillissement door ontbinding akkoord in schuldsanering op [datum]"
"1304","heropening faillissement door ontbinding akkoord in faillissement op [datum]"
"1305","uitspraak faillissement door ontbinding akkoord in surseance op [datum]"
"1306","uitspraak faillissement na beeindiging surseance op [datum]"
"2301","uitspraak schuldsanering op [datum uitspraak]"
"2302","uitspraak schuldsanering op [datum uitspraak] en verificatievergadering op [datum handeling] om [tijdstip]"
"2303","uitspraak schuldsanering op [datum uitspraak] verificatievergadering met akkoordbehandeling op [datum handeling] om [tijdstip]"
"2304","omzetting faillissement in schuldsanering op [datum uitspraak]"
"2305","uitspraak schuldsanering na vernietiging faillissement door verzet op [datum uitspraak]"
"2306","omzetting voorlopige surseance in schuldsanering op [datum uitspraak]"
"2307","uitspraak voorlopige schuldsanering op [datum uitspraak]"
"2308","omzetting voorlopige schuldsanering in definitieve op [datum handeling]"
"3300","verlening voorlopige surseance op [datum uitspraak] crediteurenvergadering op [datum uitspraak] om [tijdstip]"
"3301","verlening voorlopige surseance op [datum uitspraak]  crediteurenvergadering met akkoordbehandeling  op [datum uitspraak] om [tijdstip]"
